id,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,distance_to_burj_khalifa,distance_to_burj_al_arab,distance_to_dubai_frame,distance_to_dubai_marina,distance_to_museum_of_the_future,distance_to_dubai_creek,distance_to_palm_jumeirah,distance_to_jbr
6786263,Palm Jumeirah,25.132021,55.151405,8470000,5232,1618.88,3,3,Medium,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,14.344051421085709,3.5357159998324588,18.73992383336399,6.386875764011219,14.486829044161833,21.812491754409763,2.5506700058522997,5.966002034069394
6799796,Dubai Marina,25.084331,55.141679,2499000,2490,1003.61,3,4,Medium,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,18.330281227473893,7.691079485951747,23.103243054370058,1.021696255164793,18.66450692107329,26.139622732584797,3.1529146706288937,0.6808555674629867
6810606,Downtown Dubai,25.194282,55.271884,2800000,1712,1635.51,2,3,Medium,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.411537561984851,10.54341172431262,5.436589002192521,18.874847631755916,1.1746225098587588,8.324816217037796,16.248519484639427,18.604225177528313
6814944,Dubai Marina,25.074958,55.138542,8500000,5079,1673.56,4,4,Medium,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19.28205919413671,8.73498767985276,24.09119866637927,0.16325894486883985,19.639089257295428,27.118246620528637,4.174717213924438,0.5845256200630788
6820539,Downtown Dubai,25.191719,55.270677,1875000,1543,1215.17,2,3,Low,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7153761597747459,10.284884030338175,5.74574385504123,18.589598731819784,1.4545934807805634,8.627280148110753,15.989343368805823,18.321351615378983
6833412,Old Town,25.190044,55.277388,1275000,938,1359.28,1,2,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8506134279948545,10.762420205116912,5.65123323809598,18.957891076086774,1.7696230435213711,8.414401977316707,16.45899878727468,18.701162450840354
6840187,Al Kifaf,25.233787,55.294217,1465777,999,1467.24,1,2,Medium,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,4.530488450489817,15.051096803327525,0.5030507754396172,23.599806437415126,3.992268571809187,3.527830481779192,20.70537718650455,23.305025205074482
6861509,Palm Jumeirah,25.106809,55.151201,1260000,1646,765.49,2,3,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.962078346435094,5.127121329373948,20.632455558648427,3.696976815712366,16.23656046181045,23.687005643675214,1.4630326720426385,3.3106541747466305
6874086,Meydan,25.158305,55.296535,1386795,1084,1279.33,2,3,Medium,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.8648285101430915,11.384527474272735,8.850591768934303,18.45142536389206,5.7823224164339,11.014619746996,16.74246349442798,18.27892060161778
6918062,Culture Village,25.227295,55.341761,4500000,3048,1476.38,2,3,Medium,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,7.557877971738825,18.44608116340963,4.722308244208388,26.572908979369604,7.564142493028534,3.7615945116416243,24.145697349390176,26.332698603275432
6944434,Arjan,25.06031,55.241403000000005,750000,796,942.21,1,1,High,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,15.579726190239878,10.646984885677252,20.505623536351894,10.61956214888382,16.336824320307738,23.05894234583589,11.912377952683519,10.750762454174698
6944601,Arjan,25.06031,55.241403000000005,991000,1162,852.84,2,2,High,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,15.579726190239878,10.646984885677252,20.505623536351894,10.61956214888382,16.336824320307738,23.05894234583589,11.912377952683519,10.750762454174698
6947962,Jumeirah Beach Residence,25.07359,55.126352,3599999,1966,1831.13,3,3,Low,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.273840564370897,9.56854849971546,25.027808855979252,1.1445185374644593,20.5983031005898,28.069643630126023,4.485418167632985,1.2792842667190618
